Sl. No.,State/UT,5th Instalment (April 2020 to July 2020) - No. of Beneficiaries,5th Instalment (April 2020 to July 2020) - Amount Disbursed (in Rs. Cr.),6th Instalment (August 2020 to November 2020) - No. of Beneficiaries,6th Instalment (August 2020 to November 2020) - Amount Disbursed (in Rs. Cr.),7th Instalment (December 2020 to March 2021) - No. of Beneficiaries,7th Instalment (December 2020 to March 2021) - Amount Disbursed (in Rs. Cr.),8th Instalment (April 2021 to July 2021) - No. of Beneficiaries,8th Instalment (April 2021 to July 2021) - Amount Disbursed (in Rs. Cr.),9th Instalment (August 2021 to November 2021) - No. of Beneficiaries,9th Instalment (August 2021 to November 2021) - Amount Disbursed (in Rs. Cr.),10th Instalment (December 2021 to March 2022) - No. of Beneficiaries,10th Instalment (December 2021 to March 2022) - Amount Disbursed (in Rs. Cr.),11th Instalment (April 2022 to July 2022) - No. of Beneficiaries,11th Instalment (April 2022 to July 2022) - Amount Disbursed (in Rs. Cr.),12th Instalment (August 2022 to November 2022) - No. of Beneficiaries,12th Instalment (August 2022 to November 2022) - Amount Disbursed (in Rs. Cr.),13th Instalment (December 2022 to March 2023) - No. of Beneficiaries,13th Instalment (December 2022 to March 2023) - Amount Disbursed (in Rs. Cr.),14th Instalment (April 2023 to July 2023) - No. of Beneficiaries,14th Instalment (April 2023 to July 2023) - Amount Disbursed (in Rs. Cr.),15th Instalment (August 2023 to November 2023) - No. of Beneficiaries,15th Instalment (August 2023 to November 2023) - Amount Disbursed (in Rs. Cr.),16th Instalment (December 2023 to March 2024) - No. of Beneficiaries,16th Instalment (December 2023 to March 2024) - Amount Disbursed (in Rs. Cr.),17th Instalment (April 2024 to July 2024) - No. of Beneficiaries,17th Instalment (April 2024 to July 2024) - Amount Disbursed (in Rs. Cr.),18th Instalment (August 2024 to November 2024) - No. of Beneficiaries,18th Instalment (August 2024 to November 2024) - Amount Disbursed (in Rs. Cr.),19th Instalment (December 2024 to March 2025) - No. of Beneficiaries,19th Instalment (December 2024 to March 2025) - Amount Disbursed (in Rs. Cr.)
1,Andaman and Nicobar Islands,15971,3.26,16254,3.25,16109,3.22,16086,3.34,15593,3.13,15089,3.07,14952,3.05,14309,2.88,13046,2.63,13098,2.68,3620,0.93,12289,4.9,12546,2.8,12832,2.8,12987,2.78
2,Andhra Pradesh,4757732,995.23,4690575,953.22,4536383,916.68,4463029,1037.32,4428728,917.56,4461405,952.92,4400711,932.61,4151020,1047.34,4074033,980.85,4136680,996.68,3956937,893.3,4076365,924.04,4140573,875.56,4122499,836.36,4127619,854.28
3,Arunachal Pradesh,89275,19.01,90143,18.35,91858,19.41,91869,18.95,92730,18.75,93002,18.98,94712,21.68,93726,18.8,60678,12.61,68867,16.21,54805,12.88,80100,18.94,67613,18.55,90470,25.6,94948,22.63
4,Assam,1896670,380.23,1247617,249.52,1393366,321.13,1292543,305.61,927709,340.7,1094394,288.1,882152,192.22,489138,161.38,615136,221.6,875773,281.61,1215892,487.61,1631142,589.48,1814323,425.92,1887572,403.52,2087406,475.09
5,Bihar,6955360,1466.06,7538397,1574.11,7680555,1561.21,7924949,1645.21,8094051,1658.68,8263515,1733,8305363,1710.25,8167341,1648.58,7372112,1493.8,7569397,1580.74,7223746,1605.95,7565165,1705.67,7655844,1598.94,7581016,1544.52,7590575,1592.77
6,Chandigarh,430,0.09,430,0.09,402,0.08,386,0.08,378,0.08,389,0.09,367,0.08,5,0,307,0.12,134,0.03,275,0.09,340,0.12,349,0.08,NA,NA,NA,NA
7,Chhattisgarh,2479764,554.23,2640364,554.15,2917728,624.43,2849560,625.13,3024437,665.16,2772179,630.5,2739785,696.1,2037413,474.31,1994017,453.31,2024666,450.56,2154232,576.03,2320638,580.31,2431803,577.36,2507751,570,2594151,598.96
8,Delhi,13331,2.76,14045,2.89,13690,2.88,13975,3.1,14490,3.01,14618,3.06,14887,3.29,12409,2.5,12659,2.65,12931,2.77,8302,1.97,10240,3.22,10808,2.51,10829,2.26,11084,2.47
9,Goa,8339,1.81,9145,1.94,8762,1.82,9263,2.08,9127,1.85,8879,1.8,8541,1.96,6638,1.35,5949,1.43,5664,1.21,5982,1.37,6263,1.76,6322,1.36,6333,1.33,6381,1.33
10,Gujarat,5295260,1146.04,5567092,1147.08,5402201,1087.58,5544114,1184.48,5605182,1164.8,5842177,1250.98,5880275,1204.85,5187489,1056.13,4379256,909.17,4517889,961.4,4235547,1044.61,4640942,1203.53,4845936,1084.42,4912366,1038.73,5134410,1146.43
